timestamp,topic,latency,content
1740440242.5589676,sound,0.0012955665588378906,89
1740440242.560202,pressure,0.0017123222351074219,954
1740440242.5618303,humidity,0.0012121200561523438,34.602305264357796
1740440243.5641723,sound,0.0011525154113769531,40
1740440243.5653572,pressure,0.002065896987915039,1034
1740440243.5658078,humidity,0.0006763935089111328,13.68461550911436
1740440244.5693698,sound,0.0018002986907958984,54
1740440244.5716016,pressure,0.0035550594329833984,930
1740440244.5725708,humidity,0.0027663707733154297,15.753044850532728
1740440245.5732696,sound,0.0009763240814208984,91
1740440245.573704,pressure,0.0010869503021240234,946
1740440245.5739434,humidity,0.00107574462890625,11.928642800757723
1740440246.5769856,sound,0.0014257431030273438,36
1740440246.5776024,pressure,0.0015840530395507812,1074
1740440246.579373,humidity,0.0030205249786376953,69.53789833730858
1740440247.5820205,sound,0.0019063949584960938,81
1740440247.5834947,pressure,0.0029790401458740234,978
1740440247.5845044,humidity,0.0036454200744628906,40.17207194738659
1740440248.5845828,sound,0.001087188720703125,85
1740440248.5857012,pressure,0.0016679763793945312,1044
1740440248.5859768,humidity,0.0017621517181396484,16.740445471612837
1740440249.5895815,sound,0.0025377273559570312,51
1740440249.5912225,pressure,0.0036978721618652344,1039
1740440249.5919576,humidity,0.004068851470947266,46.513681789946716
1740440250.5912402,sound,0.0013289451599121094,32
1740440250.5920916,pressure,0.0015861988067626953,1060
1740440250.5933235,humidity,0.0019202232360839844,59.04397721981136
1740440251.5968733,sound,0.002935647964477539,54
1740440251.5982287,pressure,0.004017353057861328,961
1740440251.5985386,humidity,0.004115104675292969,14.678300126223174
1740440252.597788,sound,0.001790761947631836,91
1740440252.598343,pressure,0.0019488334655761719,1070
1740440252.5986612,humidity,0.0020716190338134766,24.7118164656014
1740440253.6013253,sound,0.002485513687133789,95
1740440253.6019301,pressure,0.002652883529663086,993
1740440253.6022327,humidity,0.0024461746215820312,86.17011539718916
1740440254.6044333,sound,0.0023865699768066406,88
1740440254.6059027,pressure,0.003026247024536133,955
1740440254.606662,humidity,0.002637147903442383,70.35070839333764
1740440255.608915,sound,0.0026428699493408203,60
1740440255.610944,pressure,0.004192829132080078,925
1740440255.6119487,humidity,0.0048198699951171875,52.61570048959888
1740440256.6102211,sound,0.0022737979888916016,68
1740440256.6117802,pressure,0.0033872127532958984,1082
1740440256.6126478,humidity,0.003965854644775391,71.5812200436522
1740440257.6127315,sound,0.0023446083068847656,61
1740440257.6142771,pressure,0.0022449493408203125,919
1740440257.615153,humidity,0.002771139144897461,61.655537730908016
1740440258.6174307,sound,0.002671480178833008,78
1740440258.6191695,pressure,0.0035614967346191406,912
1740440258.6195958,humidity,0.0033216476440429688,29.822202436203703
1740440259.6181505,sound,0.0004673004150390625,82
1740440259.6186335,pressure,0.0008635520935058594,1025
1740440259.6187067,humidity,0.0008997917175292969,26.87211754872663
1740440260.623242,sound,0.002349853515625,73
1740440260.62493,pressure,0.0035543441772460938,1001
1740440260.6257613,humidity,0.003118276596069336,20.856127957563004
1740440261.627711,sound,0.0018010139465332031,81
1740440261.6296968,pressure,0.0026559829711914062,1058
1740440261.6302257,humidity,0.0028035640716552734,79.27446317909732
1740440262.6326745,sound,0.0017545223236083984,47
1740440262.6331377,pressure,0.001939535140991211,916
1740440262.6333416,humidity,0.0020155906677246094,20.67675674384816
1740440263.63725,sound,0.003301382064819336,69
1740440263.6378498,pressure,0.003425121307373047,932
1740440263.6382165,humidity,0.003513813018798828,69.31259309830472
1740440264.639342,sound,0.0026450157165527344,59
1740440264.6421807,pressure,0.004703998565673828,895
1740440264.6427422,humidity,0.001535177230834961,37.31010758973155
1740440265.6461425,sound,0.0029108524322509766,37
1740440265.6467755,pressure,0.0030794143676757812,1082
1740440265.6490817,humidity,0.005111217498779297,13.935732381314025
1740440266.6497476,sound,0.002607583999633789,67
1740440266.6504993,pressure,0.0029289722442626953,900
1740440266.6515317,humidity,0.003674745559692383,42.28585354523115
1740440267.6525617,sound,0.002462625503540039,30
1740440267.6532485,pressure,0.0026559829711914062,953
1740440267.6535695,humidity,0.0026636123657226562,15.921678914718395
1740440268.654928,sound,0.002010822296142578,81
1740440268.6574457,pressure,0.002527475357055664,1036
1740440268.658626,humidity,0.0034487247467041016,98.85343518740632
1740440269.6604576,sound,0.0022382736206054688,66
1740440269.6619616,pressure,0.003259420394897461,1034
1740440269.6623979,humidity,0.003360271453857422,65.44044007985386
1740440270.664758,sound,0.0025665760040283203,66
1740440270.6673033,pressure,0.004775047302246094,1048
1740440270.6677928,humidity,0.005120038986206055,72.93703292042792
1740440271.6662352,sound,0.001739501953125,56
1740440271.6680999,pressure,0.002135753631591797,954
1740440271.6689718,humidity,0.0027742385864257812,10.427277366877366
1740440272.67097,sound,0.0020046234130859375,92
1740440272.6721842,pressure,0.002813577651977539,948
1740440272.6727815,humidity,0.0031347274780273438,58.370686865196205
1740440273.6750205,sound,0.002307891845703125,48
1740440273.6766129,pressure,0.003411531448364258,986
1740440273.677653,humidity,0.003153085708618164,50.07060909807953
1740440274.6771119,sound,0.0017142295837402344,85
1740440274.678948,pressure,0.0022115707397460938,972
1740440274.680691,humidity,0.003410816192626953,70.31114902986891
1740440275.6832256,sound,0.0026006698608398438,72
1740440275.6847987,pressure,0.002191305160522461,975
1740440275.6851041,humidity,0.0022268295288085938,24.970358277308012
1740440276.6884522,sound,0.0028967857360839844,92
1740440276.6892173,pressure,0.002190828323364258,1024
1740440276.6896298,humidity,0.0023615360260009766,24.732311472578978
1740440277.6901503,sound,0.0011553764343261719,51
